area,ph2006,ph2016,population2006,population2016
City of London,185,150,7239,9401
Barking and Dagenham,40,20,167060,206460
Barnet,120,100,330729,386083
Bexley,105,90,223217,244760
Brent,100,75,276534,328254
Bromley,120,100,301048,326889
Camden,265,225,211094,246181
Croydon,130,90,340541,382304
Ealing,120,100,315231,343196
Enfield,100,75,287452,331395
Greenwich,100,70,234028,279766
Hackney,130,160,220364,273526
Hammersmith and Fulham,140,105,174757,179654
Haringey,85,75,233081,278451
Harrow,65,55,223678,248752
Havering,80,65,228028,252783
Hillingdon,135,90,254423,302471
Hounslow,115,75,228143,271139
Islington,220,210,185317,232865
Kensington and Chelsea,120,120,165328,156726
Kingston upon Thames,85,65,153609,176107
Lambeth,170,150,280640,327910
Lewisham,85,65,258002,301867
Merton,70,55,192446,205029
Newham,80,50,258170,340978
Redbridge,65,55,255550,299249
Richmond upon Thames,155,125,182516,195846
Southwark,205,185,267470,313223
Sutton,70,55,182902,202220
Tower Hamlets,170,130,218262,304854
Waltham Forest,80,50,230756,275843
Wandsworth,155,135,287542,316096
Westminster,470,440,222738,247614
