area,ph2017,population2017
City of London,160,7654
Barking and Dagenham,20,210711
Barnet,80,387803
Bexley,95,246124
Brent,70,329102
Bromley,95,329391
Camden,235,253361
Croydon,85,384837
Ealing,95,342736
Enfield,65,332705
Greenwich,75,282849
Hackney,175,275929
Hammersmith and Fulham,105,182998
Haringey,70,271224
Harrow,45,248880
Havering,60,256039
Hillingdon,85,302343
Hounslow,80,269100
Islington,205,235000
Kensington and Chelsea,120,155741
Kingston upon Thames,65,174609
Lambeth,140,324048
Lewisham,70,301307
Merton,45,206052
Newham,50,347996
Redbridge,55,301785
Richmond upon Thames,125,195680
Southwark,175,314232
Sutton,55,203243
Tower Hamlets,120,307964
Waltham Forest,45,275505
Wandsworth,130,323257
Westminster,425,244796
