"Id","groupId","matchId","assists","boosts","damageDealt","DBNOs","headshotKills","heals","killPlace","killPoints","kills","killStreaks","longestKill","maxPlace","numGroups","revives","rideDistance","roadKills","swimDistance","teamKills","vehicleDestroys","walkDistance","weaponsAcquired","winPoints","winPlacePerc"
4277398,1439874,42725,2,1,215.8,0,1,0,15,1162,2,1,153.5,50,49,0,0,0,0,0,0,2772,6,1532,1
2609394,1239618,38187,0,1,54.4,0,0,0,69,1025,0,0,0,47,45,0,0,0,0,0,0,107.9,2,1503,0.3043
5537125,1562567,45511,0,2,274.8,0,0,2,14,1000,2,1,94.35,94,93,0,0,0,0,0,0,2332,6,1500,0.8602
1805276,1364811,41007,1,1,249.2,2,0,8,21,1324,2,1,5.944,27,26,0,0,0,0,0,0,328.7,3,1459,0.2692
1728469,943267,31496,0,0,200,0,1,0,22,1155,2,1,27.11,97,95,0,0,0,0,0,0,301,2,1466,0.4271
1502607,2602351,7766,0,0,103,1,0,0,70,1035,0,0,0,31,31,0,0,0,0,0,0,500.6,4,1495,0.4
2948195,1457351,43112,0,0,0,0,0,0,78,1354,0,0,0,29,29,0,0,0,0,0,0,80.95,2,1565,0.0357
1188704,968756,32063,0,1,0,0,0,0,77,1078,0,0,0,46,44,0,0,0,0,0,0,579,2,1491,0.1556
3984410,179346,14003,0,2,129.7,1,0,2,21,1000,1,1,5.18,21,20,0,0,0,0,0,0,771.1,3,1500,0.6
304550,956639,31790,0,0,28.98,0,0,0,84,1107,0,0,0,96,90,0,0,0,0,0,0,34.4,1,1534,0.1474
4207734,1283197,39165,0,0,100,1,0,0,46,1203,1,1,2.95,47,45,0,0,0,0,0,0,28.21,1,1536,0.0217
2948638,1476344,43562,0,2,94.04,0,1,5,16,990,2,1,8.106,44,44,2,0,0,0,0,0,1257,8,1492,0.4884
4389857,544408,22366,0,0,0,0,0,0,85,996,0,0,0,28,27,0,0,0,0,0,0,90.38,2,1499,0.037
4128383,689086,25666,0,0,0,0,0,0,59,1000,0,0,0,21,20,0,368,0,0,0,0,223.7,2,1500,0.2
2251676,258111,15840,0,0,0,0,0,0,83,985,0,0,0,49,46,0,0,0,0,0,0,12.92,1,1492,0.1042
6127739,1522510,44594,0,0,0,0,0,0,91,1001,0,0,0,49,49,0,0,0,0,0,0,41.35,0,1505,0.0625
899358,163645,13677,0,2,399.3,2,0,1,18,1399,2,2,21.6,29,29,0,0,0,0,0,0,1093,2,1569,0.4286
1465798,1266033,38789,0,2,0,0,0,1,54,991,0,0,0,31,30,0,0,0,0,0,0,899.3,3,1486,0.6333
163480,751711,27099,0,0,254.9,0,0,1,18,1266,2,1,21.25,96,91,0,10800,1,0,0,1,612.2,6,1520,0.6737
660943,1640365,47304,0,4,782.1,4,0,6,2,990,8,2,108,47,45,0,0,0,0,0,0,2093,5,1493,0.8261
624784,50582,11121,1,0,24,0,0,0,53,1000,0,0,0,21,19,0,0,0,0,0,0,154.5,1,1500,0.25
4006509,1175272,36748,0,0,0,0,0,0,73,1000,0,0,0,96,94,0,0,0,0,0,0,359.6,2,1500,0.2947
2139228,1241485,38230,0,0,100,1,1,0,41,1136,1,1,0.8093,30,28,0,0,0,0,0,0,6.882,0,1443,0.2069
4038381,134810,1303,0,5,400,3,1,1,6,1074,4,1,23.99,26,26,1,0,0,0,0,0,1979,5,1451,0.92
2247208,59655,11316,0,0,0,0,0,0,57,1206,0,0,0,46,45,0,1044,0,0,0,0,1268,5,1486,0.5556
5217569,517333,21719,0,0,138.8,1,0,1,19,978,2,1,6.063,49,48,0,0,0,0,0,0,268.1,3,1486,0.3333
1511320,290460,16565,4,5,283.6,1,0,2,24,1043,1,1,2.466,29,28,0,6560,0,0,0,1,2368,6,1496,0.8214
3320127,201322,14514,0,0,23.22,0,0,0,70,1000,0,0,0,49,47,0,0,0,0,0,0,454.3,1,1500,0.3125
3310914,1790651,5075,0,1,158.5,1,0,1,28,1299,1,1,18.12,28,28,0,0,0,0,0,0,2223,10,1535,0.7407
5354463,1359090,40886,0,0,115.3,1,0,0,32,1000,1,1,4.673,49,47,0,0,0,0,0,0,31.7,2,1500,0.5
2665838,769269,27493,1,2,380.4,2,1,2,4,1032,4,2,133.3,27,27,0,0,0,0,0,0,5261,6,1488,1
1590945,827752,28821,0,1,158.2,1,1,2,15,1145,2,1,384.7,28,27,0,426.1,0,0,0,0,2356,8,1461,0.8889
3797776,743453,26908,0,2,650.1,0,1,1,7,1000,4,2,31.07,97,97,0,637.2,0,116.8,0,0,1073,2,1500,0.7396
3592834,494872,21207,0,1,100,0,0,0,32,1065,1,1,14.38,99,99,0,0,0,0,0,0,575,2,1478,0.5714
706817,661915,25058,0,0,71.76,0,0,0,91,1000,0,0,0,97,91,0,0,0,0,0,0,4.436,1,1500,0.0104
5040361,805418,28299,0,0,82.28,0,0,0,82,1011,0,0,0,31,30,0,0,0,0,0,0,176.9,1,1509,0.1667
