Code,Name,Age0_19,Age20_64,Age65plus,Deprivation,Dom_Build,NonDom_Build,Dom_Gardens,Greenspace,Life_Male,Life_Female,Smoking,Binge_Drink,Obese,Episodes,Benefits,Crime
00AB,Barking and Dagenham,29.54,58.12,12.4,34.49,8.19,5.91,22.76,33.58,75.9,79.8,32.1,11.4,23.9,206.82,246.55,118.93
00AC,Barnet,24.96,61.18,13.83,21.16,8.31,2.88,28.1,41.32,79,83.4,17.9,11.1,16.8,183.75,148.33,79.6
00AD,Bexley,25.62,58.35,15.98,16.21,7.03,3.39,25.15,31.69,78.5,82.5,27.8,10.7,21.5,214.65,141.38,69.45
00AE,Brent,23.48,64.52,11.89,29.22,11.59,6.87,30.34,21.94,78.2,83.4,18.6,12,21.6,201.94,212.52,107.46
00AF,Bromley,24.51,58.9,16.66,14.36,5.35,1.63,23.35,57.78,79.2,83.3,21.9,10.7,17.6,211.62,128.42,79.1
00AG,Camden,19.49,71.54,8.93,28.62,12.22,11.86,19.09,24.79,76.4,81.7,23.5,15.3,13.3,146.43,207.55,145.45
00AH,Croydon,26.07,61.18,12.75,21.31,8.79,3.17,32.81,37.1,77.8,81.2,23.2,11,19.3,179.29,164.86,97.79
00AJ,Ealing,23.52,65.18,11.37,25.1,10.03,6.34,25.57,30.89,77.7,82.1,18.6,12.5,20,200.31,184.82,110.24
00AK,Enfield,26.24,60.51,13.29,26.19,7.29,3.48,21.72,45.62,77.9,81.9,23.5,11.7,20.2,208.39,197.7,85.86
00AL,Greenwich,26.04,62.39,11.65,33.94,8.54,5.06,23.22,34.38,75,80.7,26.6,12.6,20.2,226.71,232.45,114.84
00AM,Hackney,26.9,64.38,8.68,46.1,13.2,9.76,18.52,23.23,75,81.7,24.7,13.7,17.5,209.9,287.79,137.01
00AN,Hammersmith and Fulham,19.77,70.09,10.2,28.07,14.3,9.94,17.09,19.08,78,83.5,24.2,16.4,15.4,192.53,202.81,132.44
00AP,Haringey,24.03,66.67,9.3,35.73,14.27,6.11,26.62,25.5,76,82.1,25.3,14.6,17.9,196.89,251.13,114.27
00AQ,Harrow,25.16,60.67,14.17,15.59,9.26,2.74,34.74,34.56,78.9,83.1,14.5,9.7,19.1,200.96,149.09,71.74
00AR,Havering,24.34,58.14,17.51,16.07,5.18,1.89,19.46,59.32,78.2,81.9,27.7,10.9,22,206.89,152.91,75.07
00AS,Hillingdon,25.97,60.55,13.44,18.56,4.97,3.47,18.59,49.23,77.3,82.2,22.4,10.7,20.9,220.45,150.04,96.29
00AT,Hounslow,24.39,64.78,10.83,23.2,7.4,5.33,21.53,39.62,76.7,80.6,22,12.1,21.5,201.16,175.77,104.91
00AU,Islington,20.39,70.66,8.95,38.96,15.23,13.25,19.73,12.37,74.9,80,27.5,15.3,16,191.59,282.27,150.96
00AW,Kensington and Chelsea,18.98,68.53,12.54,23.51,19.19,11.21,17.48,15.11,83.1,87.2,18.8,14.7,13.1,142.96,147.51,116.76
00AX,Kingston upon Thames,23.05,64.85,12.1,13.1,9.01,3.64,30.9,36.44,79,82.8,21.7,12.3,17.3,192.57,100.28,69.85
00AY,Lambeth,21.67,69.88,8.57,34.94,15.43,8.25,25.98,17.25,75.1,80.1,28.1,16.8,18.6,190.95,232.34,129.55
00AZ,Lewisham,24.33,65.92,9.71,31.04,12.84,5.01,31.14,22.51,75.7,80.3,26.8,12.9,19.2,209.76,219.88,114.13
00BA,Merton,22.63,65.58,11.79,14.62,10.04,4.82,27.17,34.58,79,83.1,20.9,12.3,17.3,181.1,123.68,74.4
00BB,Newham,29.45,62.42,8.09,42.95,11.19,7.08,16.86,23.86,75,79.4,25.1,12.3,21.2,222.34,258.03,136.93
00BC,Redbridge,26.81,60.46,12.74,20.36,9.21,2.9,27.43,40.61,77.9,82.1,17.6,10.4,19.6,184.25,166.57,94.43
00BD,Richmond upon Thames,23.67,63.72,12.67,9.55,7.01,2.66,19.39,50.76,79.4,83.1,19.3,12.3,14.3,176.63,97.39,64.13
00BE,Southwark,22.08,68.73,9.18,33.33,11.14,9.76,17.64,24.9,76.6,81.6,27.7,14.8,19.7,185.79,225.86,134.94
00BF,Sutton,25.01,61.11,13.88,13.98,9.28,3.55,34.47,32.05,78.5,82.5,25.4,11.4,19.3,207.69,128.56,69.81
00BG,Tower Hamlets,25.22,66.98,7.76,44.64,7.47,11.35,7.35,15.2,75.2,80.2,26,14.8,11.9,198.58,262.22,125.27
00BH,Waltham Forest,26.09,62.98,10.75,33.19,11.29,4.55,24.42,31.39,75.3,80.7,24.4,12.1,20.2,198.75,217.34,122.62
00BJ,Wandsworth,18.74,71.79,9.55,20.34,13.35,6.77,21.51,26.93,76.6,81.2,24.2,13.9,14.2,170.38,158.14,90.11
00BK,Westminster,16.79,72.32,10.94,26.3,12.45,17.28,7.92,21.5,80.2,84,22.8,15.7,14.7,150.78,178.53,273.63
